Retailer	Retailer ID	Invoice Date	Region	State	City	Product	Price per Unit	Units Sold	Total Sales	Operating Profit	Operating Margin	Sales Method
Foot Locker	1185732	01/01/2020	Northeast	New York	New York	Men's Street Footwear	50.00	1,200	600000.00	300000.00	0.50	In-store
Foot Locker	1185732	02/01/2020	Northeast	New York	New York	Men's Athletic Footwear	50.00	1,000	500000.00	150000.00	0.30	In-store
Foot Locker	1185732	03/01/2020	Northeast	New York	New York	Women's Street Footwear	40.00	1,000	400000.00	140000.00	0.35	In-store
Foot Locker	1185732	04/01/2020	Northeast	New York	New York	Women's Athletic Footwear	45.00	850	382500.00	133875.00	0.35	In-store
Foot Locker	1185732	05/01/2020	Northeast	New York	New York	Men's Apparel	60.00	900	540000.00	162000.00	0.30	In-store
Foot Locker	1185732	06/01/2020	Northeast	New York	New York	Women's Apparel	50.00	1,000	500000.00	125000.00	0.25	In-store
Foot Locker	1185732	07/01/2020	Northeast	New York	New York	Men's Street Footwear	50.00	1,250	625000.00	312500.00	0.50	In-store
Foot Locker	1185732	08/01/2020	Northeast	New York	New York	Men's Athletic Footwear	50.00	900	450000.00	135000.00	0.30	Outlet
Foot Locker	1185732	21/01/2020	Northeast	New York	New York	Women's Street Footwear	40.00	950	380000.00	133000.00	0.35	Outlet
Foot Locker	1185732	22/01/2020	Northeast	New York	New York	Women's Athletic Footwear	45.00	825	371250.00	129937.50	0.35	Outlet
Foot Locker	1185732	23/01/2020	Northeast	New York	New York	Men's Apparel	60.00	900	540000.00	162000.00	0.30	Outlet
Foot Locker	1185732	24/01/2020	Northeast	New York	New York	Women's Apparel	50.00	1,000	500000.00	125000.00	0.25	Outlet
Foot Locker	1185732	25/01/2020	Northeast	New York	New York	Men's Street Footwear	50.00	1,220	610000.00	305000.00	0.50	Outlet
Foot Locker	1185732	26/01/2020	Northeast	New York	New York	Men's Athletic Footwear	50.00	925	462500.00	138750.00	0.30	Outlet
Foot Locker	1185732	27/01/2020	Northeast	New York	New York	Women's Street Footwear	40.00	950	380000.00	133000.00	0.35	Outlet
Foot Locker	1185732	28/01/2020	Northeast	New York	New York	Women's Athletic Footwear	45.00	800	360000.00	126000.00	0.35	Outlet
Foot Locker	1185732	29/01/2020	Northeast	New York	New York	Men's Apparel	60.00	850	510000.00	153000.00	0.30	Outlet
